fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,281.53888058662415,67,0.99243106866102,0.9924294596860204,0.6339108794985547
2,227.60891699790955,52,0.9915300054063795,0.9915250583360448,0.8827680761596562
3,353.9105496406555,87,0.9927013876374121,0.992700677155897,0.7598953940461644
4,317.5434982776642,77,0.9925211749864841,0.9925187140129696,0.6977308934135487
5,331.21667218208313,81,0.9926112813119481,0.9926092069346825,0.7141861819100482
6,317.02533411979675,77,0.9931519192647323,0.9931475645890053,0.7177432832065382
7,338.92728066444397,83,0.9932420255901965,0.9932385099429617,0.6825051382383669
8,279.68249773979187,67,0.9906890130353817,0.9906825290449448,0.871776037056413
9,372.02660846710205,92,0.9925211749864841,0.9925154684349343,0.5409326190985551
10,256.963091135025,60,0.9927914939628762,0.9927874006502666,0.5522618777196456
