fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,4324.251367807388,68,0.9920706433591638,0.9920674516406915,0.24379217018561936
2,2808.8288068771362,40,0.9914398990809155,0.9914355777281428,0.2618659665634569
3,2203.645740032196,29,0.9891872409443143,0.9891821996825007,0.3050129417485449
4,3973.7604229450226,62,0.9921607496846279,0.9921577850637604,0.2590923617024576
5,4241.3990478515625,67,0.9915300054063795,0.9915285793125735,0.12933678817235944
6,4528.52450924049,68,0.9927621510609491,0.9900327429274419,0.24742043554920834
7,2460.699439674777,37,0.9893635942931428,0.9921474990853429,0.1355222194113179
8,3189.231687144088,48,0.9908834790964419,0.9913226938829311,0.20961152561658808
9,3795.474523408428,57,0.9924148167570863,0.9925174437374166,0.3328678550204345
10,2484.0682526586725,37,0.990974945015712,0.9915377110653714,0.2992303211766768
