fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,1419.924034357071,50,0.9909893674535952,0.9909869587707067,0.1338668474986733
2,1307.8570742607117,45,0.9929717066138043,0.9929684143825241,0.40710739568478654
3,1471.8684327602386,52,0.9928816002883403,0.9928793040822764,0.21093227712586657
4,1376.5965178012848,48,0.99243106866102,0.9924294731472312,0.3210776713922034
5,2187.2613859176636,83,0.9922508560100919,0.9922482622075687,0.26317228529797915
6,864.3341317176819,26,0.990358623175347,0.9903547562263376,0.2230867830422144
7,1979.3393003940582,74,0.9929717066138043,0.9929669670201161,0.20752827132378773
8,2181.332589321317,77,0.9930436896775636,0.9927595681372678,0.26247225995006446
9,1376.344878470393,49,0.991297477360965,0.992504177231227,0.318870152414424
10,1291.7007652303432,46,0.9913983187494481,0.9916908552897056,0.30692601588531254
