fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,2048.122145175934,57,0.9882861776896739,0.9882814305872367,0.03794006098014427
2,1263.7719526290894,31,0.9895476662461705,0.9895424442938373,0.03851694198872446
3,3249.8988037109375,97,0.9865741575058569,0.9865570276090752,0.2997074016457729
4,1447.095540523529,37,0.9846819246711119,0.9846755069897302,0.31620962012190373
5,2015.9665932655334,56,0.9896377725716345,0.9896287927814416,0.24281634984414818
6,1955.072988986969,54,0.9878356460623535,0.9878357554887539,0.1507890570884528
7,1056.727971315384,24,0.9874752207604974,0.9874673932895192,0.053915166414846304
8,1619.945511341095,42,0.9880287310454908,0.9880243086145581,0.09615578193004241
9,1990.9198756217957,55,0.990628942151739,0.9906232651754953,0.16761758703660293
10,1990.7268738746643,55,0.9902685168498828,0.9902625643968588,0.28761496972686107
