fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,101.5511703491211,87,0.9875156054931336,0.9875177391535146,0.10948583979615872
2,80.13452863693237,67,0.9854166666666667,0.9854122320689161,0.11737207672855428
3,78.29501605033875,65,0.9800083298625573,0.9799597484691595,0.18844754681744852
4,82.28904223442078,69,0.9875104079933389,0.9874836746048121,0.13309838418352996
5,110.50652933120728,95,0.9838308457711443,0.983810470659035,0.14272412208017657
6,78.9908697605133,69,0.9793899422918384,0.9793735298034724,0.1869536737405336
7,94.76087880134583,80,0.9863070539419088,0.9862894489843063,0.055305537992338304
8,180.11257600784302,175,0.9888291270169631,0.9888368559047881,0.09165553639117811
9,69.8929762840271,56,0.979244499792445,0.9791797237709521,0.08625194122217113
10,107.44858312606812,100,0.9834299917149959,0.9834056355262175,0.12925292126010807
