fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,1509.462834596634,78,0.9891801914273824,0.9891830637945612,0.08933719843713141
2,1615.148167848587,84,0.9925,0.9925019861935976,0.1268998516628681
3,1462.373328924179,73,0.9900041649312786,0.9899937007610748,0.04549123019486148
4,1146.856913805008,56,0.9862614487926727,0.9862374357248335,0.14214705887636103
5,1505.90740275383,77,0.9875621890547264,0.9875485926952903,0.21148046489861083
6,1361.5729377269745,68,0.9880461665292662,0.9880381665662072,0.2039025337430913
7,1681.5763018131256,82,0.9875518672199171,0.9875505915214436,0.06734834691806238
8,1355.9278273582458,68,0.9896565990897808,0.9896638633569587,0.1183718742176291
9,1475.7484517097473,75,0.9867164798671648,0.9867092902021573,0.022760570281074522
10,1311.750857591629,63,0.9871582435791217,0.9871409809897468,0.0383430980632388
