fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,726.4024245738983,100,0.9846025801081981,0.9845931245778387,0.04303179462836129
2,649.0443511009216,88,0.9870833333333333,0.9870860585333111,0.11971177682183076
3,492.19185185432434,64,0.9645980841316119,0.9644032974261908,0.11604377871751323
4,394.7317543029785,49,0.9412989175686928,0.9402223757615443,0.05257669378400776
5,803.5920951366425,111,0.9817578772802653,0.9817284198479184,0.053700274928788996
6,1022.4873414039612,144,0.9806265457543281,0.9806083123456408,0.06566519604797118
7,480.791734457016,62,0.979253112033195,0.9792332854378597,0.1274362409899294
8,370.23241353034973,45,0.8469176665287547,0.8460327371853333,0.0017478666101797497
9,814.7092988491058,113,0.9813200498132005,0.9811606346438752,0.05495000929845495
10,507.0869574546814,66,0.9747307373653686,0.974685079357939,0.21640094965969095
