fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,380.12768292427063,58,0.951679879199698,0.9516223928147293,0.7199616146347033
2,361.84228563308716,54,0.956766917293233,0.9568174649580918,0.29788372780824257
3,405.4432578086853,62,0.9483018867924529,0.9482641363557267,0.5672361424474175
4,144.7238850593567,15,0.9522197140707299,0.9522409095092752,0.473487725208917
5,401.0931453704834,61,0.9597895527996994,0.959570985792638,0.6189072319804092
6,506.3423013687134,80,0.9600903614457831,0.9600289470329594,0.7853790757675637
7,367.7266569137573,55,0.8549417512213454,0.8557464512197627,0.5440823374035642
8,284.65795850753784,40,0.9538461538461539,0.9538830852881559,0.49178161170561263
9,580.1622369289398,93,0.9583176868193767,0.9583584150835138,0.35587107668701995
10,568.1318438053131,91,0.9455296769346356,0.9456108121370013,0.4146749249146602
11,683.7164659500122,112,0.9811817839668799,0.981187424010296,0.4509638003719196
12,672.612673997879,110,0.9638418079096045,0.9638352765342435,0.3808421127763804
13,439.2253189086914,68,0.9668425018839487,0.9668615127332303,0.34540956517052845
14,311.67796635627747,45,0.9544427710843374,0.9543401881905551,0.5542523354430142
15,228.25777864456177,30,0.9423294383716547,0.9423133683376353,0.5952459725112583
16,371.9304096698761,56,0.9606953892668179,0.9605648546073362,0.5557484080270217
17,266.5480649471283,37,0.9466313398940197,0.9466439303908031,0.44483460182394186
18,255.35239815711975,35,0.945117335352006,0.9450087168164345,0.8176116468886598
19,222.22364616394043,29,0.8760393046107332,0.8760207981165905,0.4092737231302406
20,288.6611008644104,41,0.9599395313681028,0.9598803438256982,0.48685071721157147
21,248.65691208839417,34,0.9544246107102164,0.954457046938066,0.35396790868775346
22,455.9709029197693,71,0.9597138554216867,0.9596708470344869,0.5259072833055851
23,404.8906397819519,62,0.9580022701475596,0.95801450988105,0.8173495199656522
24,398.29002928733826,61,0.9503599848427434,0.95035260857132,0.5869598261376356
25,199.43454027175903,25,0.9100227790432802,0.9097233218409729,0.521549608250122
26,398.38545536994934,61,0.9586651497914297,0.958617006098636,0.6131105811351347
27,182.98040413856506,22,0.9450757575757576,0.9451246153085632,0.4006891966420142
28,448.59078550338745,70,0.9568181818181818,0.95679824008619,0.26437474694263163
29,344.5243902206421,51,0.9615094339622642,0.961406785879852,0.6432827080719021
30,381.67826414108276,58,0.9575435936315391,0.9575870920055647,0.6814966121065541
