,dp_activity_1,dp_activity_2,dp_activity_3,dp_activity_4,dp_activity_5,dp_activity_6,dp_activity_7,dp_activity_8,dp_activity_9,dp_activity_10,dp_activity_11,dp_activity_12
activemiles,13648.0,7020.0,1288.0,784.0,16304.0,3408.0,8404.0,0.0,0.0,0.0,0.0,0.0
hhar,39226.0,41936.0,39237.0,45514.0,37464.0,33873.0,0.0,0.0,0.0,0.0,0.0,0.0
swell,2348.0,2348.0,2473.0,1455.0,1712.0,2264.0,0.0,0.0,0.0,0.0,0.0,0.0
fusion,8950.0,8950.0,8950.0,8950.0,8950.0,8055.0,8950.0,0.0,0.0,0.0,0.0,0.0
usc-had,3744.0,2518.0,2685.0,2048.0,1904.0,1695.0,1000.0,2545.0,2290.0,3680.0,1552.0,1546.0
mhealth,1200.0,1200.0,1200.0,1200.0,1200.0,1106.0,1148.0,1146.0,1200.0,1200.0,1200.0,384.0
uci-har,2257.0,2059.0,1880.0,2359.0,2582.0,2567.0,0.0,0.0,0.0,0.0,0.0,0.0
pamap2,22548.0,21634.0,22126.0,26378.0,11110.0,19208.0,21610.0,13638.0,12210.0,20560.0,27886.0,5424.0
opportunity,28481.0,8116.0,16972.0,2945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
realworld,19375.0,22654.0,4695.0,31147.0,34777.0,27015.0,28987.0,27304.0,0.0,0.0,0.0,0.0
